|	Key                 |	Value
1      |	         November 16, 1993 San          |	{ Antonio }
2      |	         16, 1993 San Antonio           |	{ de }
3      |	          1993 San Antonio de           |	{ Bexar, }
4      |	         San Antonio de Bexar,          |	{ Texas }
5      |	        Antonio de Bexar, Texas         |	{ The }
6      |	          de Bexar, Texas The           |	{ House }
7      |	        Bexar, Texas The House          |	{ on }
8      |	          Texas The House on            |	{ Mango }
9      |	          The House on Mango            |	{ Street , Street }
10     |	         House on Mango Street          |	{ We , (Arte }
11     |	          on Mango Street We            |	{ didn't }
12     |	        Mango Street We didn't          |	{ always }
13     |	        Street We didn't always         |	{ live }
14     |	         We didn't always live          |	{ on , on }
15     |	         didn't always live on          |	{ Mango , Mango }
16     |	         always live on Mango           |	{ Street. , Street. }
17     |	         live on Mango Street.          |	{ Before , Before }
18     |	        on Mango Street. Before         |	{ that , that }
19     |	       Mango Street. Before that        |	{ we , we }
20     |	        Street. Before that we          |	{ lived , lived }
21     |	         Before that we lived           |	{ on , on }
22     |	           that we lived on             |	{ Loomis , Keeler. , Loomis , Keeler. }
23     |	          we lived on Loomis            |	{ on , on }
24     |	          lived on Loomis on            |	{ the , the }
25     |	           on Loomis on the             |	{ third , third }
26     |	          Loomis on the third           |	{ floor, , floor, }
27     |	          on the third floor,           |	{ and , and }
28     |	         the third floor, and           |	{ before , before }
29     |	        third floor, and before         |	{ that , that }
30     |	        floor, and before that          |	{ we , we }
31     |	          and before that we            |	{ lived , lived }
32     |	         before that we lived           |	{ on , on }
33     |	          we lived on Keeler.           |	{ Before , Before }
34     |	        lived on Keeler. Before         |	{ Keeler , Keeler }
35     |	       on Keeler. Before Keeler         |	{ it , it }
36     |	       Keeler. Before Keeler it         |	{ was , was }
37     |	         Before Keeler it was           |	{ Paulina, , Paulina, }
38     |	        Keeler it was Paulina,          |	{ and , but }
39     |	          it was Paulina, and           |	{ before }
40     |	        was Paulina, and before         |	{ that }
41     |	       Paulina, and before that         |	{ I }
42     |	           and before that I            |	{ can't }
43     |	          before that I can't           |	{ remember. }
44     |	        that I can't remember.          |	{ But }
45     |	         I can't remember. But          |	{ what }
46     |	       can't remember. But what         |	{ I }
47     |	         remember. But what I           |	{ remember }
48     |	          But what I remember           |	{ most }
49     |	         what I remember most           |	{ is , is }
50     |	          I remember most is            |	{ moving , Mango }
51     |	        remember most is moving         |	{ a }
52     |	           most is moving a             |	{ lot. }
53     |	           is moving a lot.             |	{ Each }
54     |	          moving a lot. Each            |	{ time }
55     |	           a lot. Each time             |	{ it }
56     |	           lot. Each time it            |	{ seemed }
57     |	          Each time it seemed           |	{ there'd }
58     |	        time it seemed there'd          |	{ be }
59     |	         it seemed there'd be           |	{ one }
60     |	         seemed there'd be one          |	{ more }
61     |	          there'd be one more           |	{ of }
62     |	            be one more of              |	{ us. }
63     |	            one more of us.             |	{ By }
64     |	            more of us. By              |	{ the }
65     |	             of us. By the              |	{ time }
66     |	            us. By the time             |	{ we }
67     |	            By the time we              |	{ got }
68     |	            the time we got             |	{ to }
69     |	            time we got to              |	{ Mango }
70     |	            we got to Mango             |	{ Street }
71     |	          got to Mango Street           |	{ we }
72     |	          to Mango Street we            |	{ were }
73     |	         Mango Street we were           |	{ six--Mama, }
74     |	       Street we were six--Mama,        |	{ Papa, }
75     |	       we were six--Mama, Papa,         |	{ Carlos, }
76     |	     were six--Mama, Papa, Carlos,      |	{ Kiki, }
77     |	    six--Mama, Papa, Carlos, Kiki,      |	{ my }
78     |	        Papa, Carlos, Kiki, my          |	{ sister }
79     |	        Carlos, Kiki, my sister         |	{ Nenny }
80     |	         Kiki, my sister Nenny          |	{ and }
81     |	          my sister Nenny and           |	{ me. }
82     |	         sister Nenny and me.           |	{ The }
83     |	           Nenny and me. The            |	{ house }
84     |	           and me. The house            |	{ on }
85     |	           me. The house on             |	{ Mango }
86     |	          The house on Mango            |	{ Street , Street }
87     |	         house on Mango Street          |	{ is , is , isn't }
88     |	          on Mango Street is            |	{ ours, , not }
89     |	         Mango Street is ours,          |	{ and }
90     |	          Street is ours, and           |	{ we }
91     |	            is ours, and we             |	{ don't }
92     |	          ours, and we don't            |	{ have }
93     |	           and we don't have            |	{ to }
94     |	           we don't have to             |	{ pay }
95     |	           don't have to pay            |	{ rent }
96     |	           have to pay rent             |	{ to }
97     |	            to pay rent to              |	{ anybody, }
98     |	         pay rent to anybody,           |	{ or }
99     |	          rent to anybody, or           |	{ share }
100    |	         to anybody, or share           |	{ the }
101    |	         anybody, or share the          |	{ yard }
102    |	           or share the yard            |	{ with }
103    |	          share the yard with           |	{ the }
104    |	           the yard with the            |	{ people }
105    |	         yard with the people           |	{ downstairs, }
106    |	      with the people downstairs,       |	{ or }
107    |	       the people downstairs, or        |	{ be }
108    |	       people downstairs, or be         |	{ careful }
109    |	       downstairs, or be careful        |	{ not }
110    |	           or be careful not            |	{ to }
111    |	           be careful not to            |	{ make }
112    |	          careful not to make           |	{ too }
113    |	            not to make too             |	{ much }
114    |	           to make too much             |	{ noise, }
115    |	         make too much noise,           |	{ and }
116    |	          too much noise, and           |	{ there }
117    |	         much noise, and there          |	{ isn't }
118    |	        noise, and there isn't          |	{ a }
119    |	           and there isn't a            |	{ landlord }
120    |	        there isn't a landlord          |	{ banging }
121    |	       isn't a landlord banging         |	{ on }
122    |	         a landlord banging on          |	{ the }
123    |	        landlord banging on the         |	{ ceiling }
124    |	        banging on the ceiling          |	{ with }
125    |	          on the ceiling with           |	{ a }
