|	Key                 |	Value
1      |	           You've gotta a lotta lotta             |	{ nerve }
2      |	            gotta a lotta lotta nerve             |	{ Coming }
3      |	           a lotta lotta nerve Coming             |	{ here }
4      |	          lotta lotta nerve Coming here           |	{ when }
5      |	          lotta nerve Coming here when            |	{ I'm }
6      |	           nerve Coming here when I'm             |	{ still }
7      |	           Coming here when I'm still             |	{ with }
8      |	            here when I'm still with              |	{ him }
9      |	             when I'm still with him              |	{ And }
10     |	             I'm still with him And               |	{ I }
11     |	              still with him And I                |	{ can't }
12     |	              with him And I can't                |	{ have }
13     |	              him And I can't have                |	{ you, }
14     |	              And I can't have you,               |	{ it }
15     |	              I can't have you, it                |	{ isn't }
16     |	            can't have you, it isn't              |	{ fair }
17     |	             have you, it isn't fair              |	{ Born }
18     |	             you, it isn't fair Born              |	{ March }
19     |	            it isn't fair Born March              |	{ of }
20     |	            isn't fair Born March of              |	{ '86, }
21     |	             fair Born March of '86,              |	{ my }
22     |	              Born March of '86, my               |	{ birthday's }
23     |	           March of '86, my birthday's            |	{ coming }
24     |	          of '86, my birthday's coming            |	{ And }
25     |	          '86, my birthday's coming And           |	{ if }
26     |	           my birthday's coming And if            |	{ I }
27     |	           birthday's coming And if I             |	{ had }
28     |	               coming And if I had                |	{ one }
29     |	                And if I had one                  |	{ wish, }
30     |	               if I had one wish,                 |	{ yeah, }
31     |	              I had one wish, yeah,               |	{ you'd }
32     |	            had one wish, yeah, you'd             |	{ be }
33     |	            one wish, yeah, you'd be              |	{ it }
34     |	             wish, yeah, you'd be it              |	{ When }
35     |	             yeah, you'd be it When               |	{ you're }
36     |	             you'd be it When you're              |	{ 'round }
37     |	            be it When you're 'round              |	{ I }
38     |	             it When you're 'round I              |	{ lose }
39     |	            When you're 'round I lose             |	{ myself , myself }
40     |	           you're 'round I lose myself            |	{ inside , inside }
41     |	           'round I lose myself inside            |	{ your , your }
42     |	            I lose myself inside your             |	{ mouth , mouth }
43     |	          lose myself inside your mouth           |	{ You've , You've }
44     |	         myself inside your mouth You've          |	{ got , got }
45     |	          inside your mouth You've got            |	{ brown , brown }
46     |	           your mouth You've got brown            |	{ eyes , eyes }
47     |	           mouth You've got brown eyes            |	{ like , like }
48     |	           You've got brown eyes like             |	{ no , no }
49     |	             got brown eyes like no               |	{ one , one }
50     |	             brown eyes like no one               |	{ else , else }
51     |	              eyes like no one else               |	{ Baby, , Baby, }
52     |	             like no one else Baby,               |	{ make , make }
53     |	             no one else Baby, make               |	{ it , it }
54     |	             one else Baby, make it               |	{ to , to }
55     |	              else Baby, make it to               |	{ me , me }
